Week,Date,Name,Article Title,Article Link,Twitter Handle,MM Tweet,Key Words
87,"June 21, 2021",Dr. Kaitlin M. Gold,Hyperspectral Measurements Enable Pre-Symptomatic Detection and Differentiation of Contrasting Physiological Effects of Late Blight and Early Blight in Potato,Remote Sensing,@KaitlinMGold,Gold 2020,"field spectroscopy, pathogen; plant disease, agriculture, shortwave infrared, hyperspectral"
88,"June 28, 2021",Mary Immaculate Neh-Fru,"Remote Sensing for Geological Investigation of Mayo Kila and Environs, North West Region of Cameroon",American Journal of Earth Sciences,@ImmaculateNeh,Neh-Fru 2020,"Lineaments, fractal analysis, orogeny, remote sensing, Mayo Kila"
89,"July 5, 2021",Abigail Barenblitt,The large footprint of small-scale artisanal gold mining in Ghana,Science of the Total Environment,@abarenblitt,Barenblitt 2021,"Galamsey, Landsat, extent mapping, NDVI, Google Earth Engine"
90,"July 12, 2021",Dr. Bianca Molinari,Assessing Spatial Variation in Algal Productivity in a Tropical River Floodplain Using Satellite Remote Sensing,Remote Sensing,@molinari_bia,Molinari 2021,"statistical modelling, wetlands, tropical rivers, wetland management, epiphyton, phytoplankton, primary productivity, Landsat 8, Australia"
91,"July 19, 2021",Dr. Cheryl Doughty,Characterizing spatial variability in coastal wetland biomass across multiple scales using UAV and satellite imagery,Remote Sensing in Ecology and Conservation,@cherylldoughty,Doughty 2021,"drones, Landsat, saltmarsh, semivariogram, spatial heterogeneity, unoccupied aerial systems"
92,"July 26, 2021",Dr. Lorena A. Santos,Quality control and class noise reduction of satellite image time series,ISPRS Journal of Photogrammetry and Remote Sensing,@lorenaalvesgo,Santos 2021,"self-organizing map, class noise reduction, Bayesian inference, satellite image time series, land use and cover classification"
93,"August 2, 2021",Dr. Laura Chasmer,Using Multitemporal and Multispectral Airborne Lidar to Assess Depth of Peat Loss and Correspondence With a New Active Normalized Burn Ratio for Wildfires,Geophysical Research Letters,@ErsPeat,Chasmer 2017,"active normalized burn ratio, dNBR, lidar, Landsat 7, Fort McMurray, Canada, peatland, wildfire"
94,"August 9, 2021",Gizem Şenel,Exploring the potential of Landsat-8 OLI and Sentinel-2 MSI data for mapping and monitoring Enez Dalyan Lagoon,Desalination and Water Treatment,@GizemSenel,Senel 2019,"coastal lagoon monitoring, Landsat 8, Sentinel-2, spectral water index algorithms, normalized difference water index"
95,"August 16, 2021",Dr. Emma Li Johansson,"Mapping and quantifying perceptions of environmental change in Kilombero Valley, Tanzania",Ambio,@emmalijohansson,Johansson & Abdi 2020,"deforestation, large-scale land acquisitions, mixed methods, participatory research, remote sensing, socio-environmental change"
96,"August 23, 2021",Dr. Cibele Hummel do Amaral,Characterization of indicator tree species in neotropical environments and implications for geological mapping,Remote Sensing of Environment,@CibeleHdoAmaral,do Amaral 2018,"geobotany, Cerrado biome, sedimentary formations, multivariate analysis, spectroscopy, Spectral Mixture Analysis"
97,"August 30, 2021",Zoe Pierrat,Tower‐Based Remote Sensing Reveals Mechanisms Behind a Two‐phased Spring Transition in a Mixed‐Species Boreal Forest,JGR Biogeosciences,@zoeapie,Pierrat 2021,"tower-based remote sensing, PhotoSpec, vegetation indices, spring transition, Boreal forests"
98,"September 6, 2021",Rabia Kahn,Water quality monitoring over Finger Lakes region using Sentinel-2 imagery on Google Earth Engine cloud computing platform,XXIV ISPRS Congress,@MunsafRabia,Khan 2021,"Google Earth Engine, Finger Lakes, Sentinel 2, sediment loading, water quality"
99,"September 13, 2021",Dr. Catherine Champagne,Impact of Soil Moisture Data Characteristics on the Sensitivity to Crop Yields Under Drought and Excess Moisture Conditions,Remote Sensing,@cathchampagne,Champagne 2019,"soil moisture, drought, agriculture, SMOS, ESA-CCI"
100,"September 20, 2021",Mahsa Khodaee,Monitoring Forest Infestation and Fire Disturbance in the Southern Appalachian Using a Time Series Analysis of Landsat Imagery,Remote Sensing,@mahsa_khodaee,Khodaee 2020,"Hemlock Woolly Adelgid, fire, Landsat, Tasseled Cap Transformation"
101,"Sept 27, 2021",EO Scientist Landsat 9 Trading Card Deck,,,,L9 Cards,
102,"October 4, 2021",Dr. María Fernández-Giménez and Dr. Ginger Allington,Using an integrated social-ecological analysis to detect effects of household herding practices on indicators of rangeland resilience in Mongolia,Environmental Research Letters,@gigi_rose,Fernández-Giménez 2018,"pastoralism, grassland, mobility, statistical matching, otor, dzud, resilience"
103,"October 11, 2021",Dr. Milto Miltiadou,A Comparative Study about Data Structures Used for Efficient Management of Voxelised Full-Waveform Airborne LiDAR Data during 3D Polygonal Model Creation,Remote Sensing,@DrMiltiadou,Miltiadou 2021,"LiDAR, voxelisation, iso-surface, visualisations, data structures, efficiency, memory management, execution time, volumetric data"
104,"October 18, 2021",Emily C. Adams,Limitations of Remote Sensing in Assessing Vegetation Damage Due to the 2019–2021 Desert Locust Upsurge,Frontiers in Climate,@emily4eo,Adams 2021,"locust, NDVI, vegetation, damage assessment, MODIS, harmonized landsat sentinel"
105,"October 25, 2021",Gina Maskell,Integration of Sentinel optical and radar data for mapping smallholder coffee production systems in Vietnam,Remote Sensing of Environment,@GinaMask,Maskell 2021,"agroforestry, smallholder agriculture, crop mask, Sentinel-1, Sentinel-2, data fusion, Google Earth Engine, random forest"
106,"November 1, 2021",Dr. Angela Kross,Using Artificial Neural Networks and Remotely Sensed Data to Evaluate the Relative Importance of Variables for Prediction of Within-Field Corn and Soybean Yields,Remote Sensing,@angela_kross,Kross 2020,"corn; soybean, yield prediction, remote sensing, vegetation indices, artificial neural network, elevation, within-field scale"
107,"November 8, 2021",Bogumila Backiel,Mapping Sandbars in the Connecticut River Watershed through Aerial Images for Floodplain Conservation,Scholarworks at UMass Amherst,@bobackiel,Backiel 2018,"NAIP, aerial imagery, fluuvial geomorphic feature modelling, Connecticut River, New England, sandbars"
108,"November 15, 2021",Dr. Meghan Halabisky,Harnessing the Temporal Dimension to Improve Object-Based Image Analysis Classification of Wetlands,Remote Sensing,@mhalabisky1,Halabisky 2018,"time series, Landsat, wetlands, hydrology, hydroperiod, high resolution, GEOBIA, OBIA"
109,"November 22, 2021",Dr. Swanni Alvarado,Thresholds of fire response to moisture and fuel load differ between tropical savannas and grasslands across continents,Global Ecology and Biogeography,@SwanniAlvarado,Alvarado 2020,"MODIS, burned area, dry season, rainfall, CHIRPS, fuel conditions, Pantropical savannas"
110,"November 29, 2021",Dr. Camile Söthe,Large scale mapping of soil organic carbon concentration with 3D machine learning and satellite observations,Geoderma,@SotheCamile,Söthe 2022,"soil organic carbon, machine learning, carbon cycle, satellite data, Google Earth Engine, climate change, peatland"
111,"December 6, 2021",Dr. Ane Alencar,Mapping Three Decades of Changes in the Brazilian Savanna Native Vegetation Using Landsat Data Processed in the Google Earth Engine Platform,Remote Sensing,@anealencar3,Alencar 2020,"Cerrado, land cover, grasslands, forests, monitoring, random forest, spectral indexes, vegetation seasonality"
112,"December 13, 2021",Dr. Tahisa Neitzel Kuck,Change Detection of Selective Logging in the Brazilian Amazon Using X-Band SAR Data and Pre-Trained Convolutional Neural Networks,Remote Sensing,@tatakuck,Kuck 2021,"selective logging, synthetic aperture radar, SAR, convolutional neural networks"
113,"December 20, 2021",Dr. Michelle Picoli,Land use change: the barrier for sugarcane sustainability,"Biofuels, Bioproducts, & Biorefining",@Michelle_Picoli,Picoli 2021,"public policy, bioethanol production, Brazil, Landsat, MapBiomas, land-use change"
114,"December 27, 2021",2021 MM Moments Thread,,2021 MM,2021 MM,,
115,"January 3, 2022",Dr. Jessica McCarty,Reviews and syntheses: Arctic fire regimes and emissions in the 21st century,Biogeosciences,@jmccarty_geo,McCarty 2021,"Arctic, boreal, fire regimes, fire emissions, MODIS, VIIRS, Sentinel-2, Earth observations"
116,"January 10, 2022",Katja Kowalski,Quantifying drought effects in Central European grasslands through regression-based unmixing of intra-annual Sentinel-2 time series,Remote Sensing of Environment,@katja_kowalski,Kowalski 2022,"fractional cover, support vector regression, NDFI, photosynthetic vegetation, PV, non-photosynthetic vegetation, NPV, soil, Copernicus, climate change"
117,"January 17, 2022",Dr. Kiana Zolfaghari,Impact of Spectral Resolution on Quantifying Cyanobacteria in Lakes and Reservoirs: A Machine-Learning Assessment,IEEE Transactions on Geoscience and Remote Sensing,@KianaZol,Zolfaghari 2021,"cyanobacteria harmful algal bloom (Cyano HAB), hyperspectral, machine learning (ML), neural network, phycocyanin (PC), spectral resolution"
118,"January 24, 2022",Alexandra Runge,Remote sensing annual dynamics of rapid permafrost thaw disturbances with LandTrendr,Remote Sensing of Environment,@RungeAlexandra,Runge 2022,"retrogressive thaw slumps, time series, multi-spectral analysis, Landsat, Sentinel-2, thermo-erosion, permafrost thaw"
119,"January 31, 2022","Dr. Melania Michetti, Eleanora Cogo, and Dr. Sara Venturini",Monitoring Adaptation Using Earth Observations in View of the “Global Stocktake”,Handbook of Climate Change Management,@elecogo and @la_Venturini,Michetti 2021,"Earth observations, adaptation, resilience, global stocktake, Paris Agreement, monitoring and evaluation, climate change, climate policy, Big Data, Citizen Science"
120,"February 7, 2022",Dr. Alice Alonso and Dr. Natalie Nelson,Estimating the Influence of Oyster Reef Chains on Freshwater Detention at the Estuary Scale Using Landsat-8 Imagery,Estuaries and Coasts,@alonsoalice1 and @nataliegnelson,Alonso 2021,"Landsat 8, satellite imagery, salinity, oyster reefs, Suwannee River, Gulf of Mexico"
121,"February 14, 2022",Dr. Fang Cao and Dr. Maria Tzortziou,Capturing dissolved organic carbon dynamics with Landsat-8 and Sentinel-2 in tidally influenced wetland–estuarine systems,Science of the Total Environment,@mtzortziou,Cao & Tzortziou 2021,"coastal ecosystems, carbon cycling, tidal exchanges, episodic events, remote sensing, biogeochemistry"
122,"February 21, 2022",Dr. Zahra Sadeghi,Benchmarking and inter-comparison of Sentinel-1 InSAR velocities and time series,Remote Sensing of Environment,@ZahraSadeghi_RS,Sadeghi 2021,"InSAR, comparison, Sentinel-1, ground motion"
123,"Februrary 28, 2022",Aurélie C. Shapiro,Forest condition in the Congo Basin for the assessment of ecosystem conservation status,Ecological Indicators,@aurelgrooves,Shapiro 2021,"monitoring, forest degradation, condition, conservation planning, REDD+, stratification, Red List, prioritization"
124,"March 7, 2022",Dr. Anjana Shah,Mapping Critical Minerals from the Sky,GSA Today,,Shah 2021,"critical minerals, airborne, geology, mineral deposits, magnetic, radiometric"
125,"March 14, 2022",Dr. Maycira Costa,Historical distribution of kelp forests on the coast of British Columbia: 1858–1956,Applied Geography,@UVicSpectral,Costa 2020,"kelp spatial distribution, British Columbia, historical British admiralty charts, 1858–1956"
126,"March 21, 2022",Alejandra Mora-Soto,A High-Resolution Global Map of Giant Kelp (Macrocystis pyrifera) Forests and Intertidal Green Algae (Ulvophyceae) with Sentinel-2 Imagery,Remote Sensing,@alitamoras,Mora-Soto 2020,"giant kelp, Macrocystis pyrifera, Google Earth Engine, UAV, Sentinel-2, Ulvophyceae"
127,"March 28, 2022",Shijuan Chen,Monitoring temperate forest degradation on Google Earth Engine using Landsat time series analysis,Remote Sensing of Environment,@shijuan_chen,Chen 2021,"forest degradation, deforestation, disturbance, Landsat, Google Earth Engine, CCDC-SMA, time series analysis, change detection, area estimation"
128,"April 4, 2022",Dr. Amy Collins,How community forest management performs when REDD+ payments fail,Environmental Research Letters,@amy_christina,Collins 2022,"REDD+, community forest management, co-benefits, statistical matching, climate change mitigation, deforestation, socio-ecological systems"
129,"April 11, 2022",Vanesa Martín-Arias and Christine Evans,Modeled Impacts of LULC and Climate Change Predictions on the Hydrologic Regime in Belize,Frontiers in Environmental Science,@vanessa_martian and @ChristineAEvans,Martín-Arias 2022,"land cover change, hydrology, runoff, CMIP-6, climate change, Belize, N-SPECT, TerrSet"
130,"April 18, 2022",Caroline S. Juang,Rapid Growth of Large Forest Fires Drives the Exponential Response of Annual Forest-Fire Area to Aridity in the Western United States,Geophysical Research Letters,@caro_in_space,Juang 2022,"forest fires, western USA, MTBS, MODIS burned areas, aridification, fuels, climate, Climgrid"
131,"April 25, 2022",Dr. Ellen Whitman,"Climate-induced fire regime amplification in Alberta, Canada",Environmental Research Letters,@EllWhitman,Whitman 2022,"climate change, fire, fire severity, wildfire, fire regime, Landsat"
132,"May 2, 2022",Breylla Campos Carvalho,Shoreline position change and the relationship to annual and interannual meteo-oceanographic conditions in Southeastern Brazil,"Estuarine, Coastal and Shelf Science",@bre_campos,Campos Carvalho 2020,"Landsat imagery, WW3 model, coastal morphology, El Niño/La Niña teleconnections, Rio de Janeiro, sandy beaches"
133,"May 9, 2022",Julia Wagemann,A user perspective on future cloud-based services for Big Earth data,International Journal of Digital Earth,@JuliaWagemann,Wagemann 2021,user requirements; cloud-based services; Big Earth data; open data
134,"May 16, 2022",Rebekke Muench,Assessment of Open Access Global Elevation Model Errors Impact on Flood Extents in Southern Niger,Frontiers in Environmental Science,@beemuench,Muench 2022,"flood, DEM, RMSE, West Africa, HAND, SERVIR"
135,"May 23, 2022",Dr. Trisalyn Nelson,"Accelerating ethics, empathy, and equity in geographic information science",PNAS,@TrisalynNelson and @deepseadawn,Nelson 2022,"diversity, equity, inclusion, justice, GIS, conceptual, ethics, empathy"
136,"May 30, 2022",Eleanor Wratten,Physiographic Controls on Landfast Ice Variability from 20 Years of Maximum Extents across the Northwest Canadian Arctic,Remote Sensing,@EleanorWratten,Wratten 2022,"arctic, MODIS, landfast ice extent, scale, topographic setting, storms, environmental processes, community, coastal erosion"
137,"June 7, 2022",Heather Kay,Exploring the Relationship between Forest Canopy Height and Canopy Density from Spaceborne LiDAR Observations,Remote Sensing,@HeatherKayMTB,Kay 2021,"canopy height, canopy density, ICESat GLAS, forest structure"
138,"June 13, 2022",Dr. Ekena Rangel Pinagé,Forest structure and solar-induced fluorescence across intact and degraded forests in the Amazon,Remote Sensing of Environment,@EkenaRP,Pinagé 2022,"Amazon, forest degradation, selective logging, forest fires, forest structure, solar-induced chlorophyll fluorescence"
139,"June 20, 2022","Dr. Karen Joyce, Dr. Karen Anderson, and Dr. Renee Bartolo",Of Course We Fly Unmanned—We’re Women!,Remote Sensing,"@KEJoyce2, @KAnderson_RS and @ReneeBartolo","Joyce, Anderson, & Bartolo 2021","drones, UAS, UAV, SheMaps, Dames of Drones, diversity, equity, inclusion, justice, inclusive language"
140,"June 27, 2022",Dr. Meha Jain,Groundwater depletion will reduce cropping intensity in India,Science Advances,@Meha__Jain,Jain 2021,"groundwater depletion, MODIS, high-resolution dataset, India, cropping intensity, winter cropped land, irrigation"
141,"July 4, 2022",Dr. Antara Dasgupta,"On the Impacts of Observation Location, Timing, and Frequency on Flood Extent Assimilation Performance",Water Resources Research,@ant_dasgupta,Dasgupta 2021,"SAR, flood extent, Australia, flood forecasting, LISFLOOD-FP model"
142,"July 11, 2022",Dr. Chelene Hanes,"Mapping organic layer thickness and fuel load of the boreal forest in Alberta, Canada",Geoderma,@WildfireScience,Hanes 2022,"fuel load, random forests, machine learning, wildland fire, spatial visualization, forest fuels"
143,"July 18, 2022",Yingtong Zhang,A Global Analysis of the Spatial and Temporal Variability of Usable Landsat Observations at the Pixel Scale,Frontiers in Remote Sensing,@YingtongZhang,Zhang 2022,"Landsat, time series, data density, pixel quality, land change, land cover"
144,"July 25, 2022",Itohan-Osa Abu,Detecting cocoa plantations in Côte d’Ivoire and Ghana and their implications on protected areas,Ecological Indicators,@Itohan_Osa_,Abu 2021,"cocoa mapping, cash crops, West Africa, Sentinel-1, Sentinel-2, protected areas, encroachment"
145,"August 1, 2022",Dr. Iryna Dronova & Dr. Sophie Taddeo,Remote sensing of phenology: Towards the comprehensive indicators of plant community dynamics from species to regional scales,Journal of Ecology,@dronova_iryna and @SophieTaddeo,Dronova & Taddeo 2022,"heterogeneity, phenology, plant diversity, remote sensing, resilience, satellite, spectral vegetation indicators, stability"
146,"August 8, 2022",Dr. Akansha Singh Bansal,"Data-Driven Control, Modeling, and Forecasting for Residential Solar Power",Scholarworks @UMass Amherst,@akansha_asb,Singh Bansal 2022,"satellite-data techniques, solar power, residential solar power, physical models, machine learning models, deep learning models, GOES-R, GOES-17, GOES-16, data-driven techniques"
147,"August 15, 2022",Dr. Ana Bastos,Direct and seasonal legacy effects of the 2018 heat wave and drought on European ecosystem productivity,Science Advances,@Ana__Bastos,Bastos 2020,"ERA5, SMOS, SAR, ecosystem productivity, 2018 heat wave, drought, Europe, vegetation, carbon, water exchange"
148,"August 22, 2022",Viola H.A. Heinrich,Large carbon sink potential of secondary forests in the Brazilian Amazon to mitigate climate change,Nature Communications,@vh_trees,Heinrich 2021,"MapBiomas, Landsat, LULC, land-use land-cover, ESA-CCI ABG, Brazilian Amazon, disturbance, tropical forest, secondary forest, regrowth, drivers"
149,"August 29, 2022",Dr. Anni Yang,Leveraging Machine Learning and Geo-Tagged Citizen Science Data to Disentangle the Factors of Avian Mortality Events at the Species Level,Remote Sensing,@anniyang0406,Yang 2022,"avian conservation, citizen science, random forest, earth observations, mortality, natural hazards"
150,"September 5, 2022",Elham Shafeian,Mapping fractional woody cover in an extensive semi-arid woodland area at different spatial grains with Sentinel-2 and very high-resolution data,International Journal of Applied Earth Observation and Geoinformation,@EShafeian,Shafeian 2021,"semi-arid woodlands, Zagros, woody cover, Sentinel-2, VHR imagery, land cover"
151,"September 12, 2022",Itziar Irakulis-Loitxate,Satellites Detect a Methane Ultra-emission Event from an Offshore Platform in the Gulf of Mexico,Environmental Science & Technology Letters,@itziraloi,Irakulis-Loitxate 2022,"Methane emissions, offshore platforms, high-resolution satellite data, WorldView-3, Landsat 8, Gulf of Mexico, sun-glint, VIIRS"
152,"September 19, 2022",Dr. Anna K. Schweigher,Plant beta-diversity across biomes captured by imaging spectroscopy,Nature Communications,,Schweiger 2022,"high-resolution, spectral images, spectrometers, plant diversity, NEON, National Ecological Observatory Network"
153,"September 26, 2022",Dr. Joanne V. Hall,Validation of GOES-16 ABI and MSG SEVIRI Active Fire Products,International Journal of Applied Earth Observation and Geoinformation,@JoanneVHall,Hall 2019,"Fire, biomass burning, GOES ABI, MSG SEVIRI, Landsat"
154,"October 3, 2022",Joan Sturm,Satellite data reveal differential responses of Swiss forests to unprecedented 2018 drought,Global Change Biology,@JTSturm,Sturm 2022,"environmental drivers, forest drought responses, NDWI, remote sensing, resilience, resistance, Sentinel-2"
155,"October 10, 2022",Abena B. Asare-Ansah,Tracking the Godzilla dust plume using Google Earth Engine platform,"The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",@Ms_Pixels,Asare-Ansah 2022,"Godzilla, dust plume, aerosol, air quality, Sentinel-5P, Google Earth Engine, Sahara Desert, Africa"
156,"October 17, 2022",Dr. Radost Stanimirova,"Widespread changes in 21st century vegetation cover in Argentina, Paraguay, and Uruguay",Remote Sensing of Environment,@radost_stan,Stanimirova 2022,"South America, land cover change, remote sensing, deforestation, afforestation, woody encroachment, desertification"
157,"October 24, 2022",Matilda Anokye,"Assessing land cover change around Bayou Perot- Little Lake, New Orleans using Sentinel 2 satellite imagery","The International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",@KKtilda,Anokye 2022,"Hurricane Ida, land cover change, Sentinel 2, coastal ecosystems, NDVI, Random Forest classification"
158,"October 31, 2022",Dr. Natasha Stavros,Designing an Observing System to Study the Surface Biology and Geology (SBG) of the Earth in the 2020s,Journal of Geophysical Research: Biogeosciences,@DrWKID,Stavros 2022,"surface biology and geology, observing system, framework, design, satellite, spectroscopic, thermal data"
159,"November 7, 2022",Germán Silva,Shifts in Salt Marsh Vegetation Landcover after Debris Flow Deposition,Remote Sensing,@envirogeography,Silva 2022,"remote sensing, wetland change, change detection, random forest classifier, Salicornia pacifica"
160,"November 14, 2022",Diana Efia Frimpong,Assessing the Impact of Land Use and Land Cover Change on Air Quality in East Baton Rouge—Louisiana Using Earth Observation Techniques,Advances in Remote Sensing,@Diana_BF,Frimpong 2022,"Google Earth Engine, aerosol, air quality, Sentinel-5P, land use land cover change"
161,"November 21, 2022",Dr. Rachael H. Nolan,What Do the Australian Black Summer Fires Signify for the Global Fire Crisis?,Fire,@Rachael_H_Nolan,Nolan 2022,"wildfire, smoke, demographics, fuel, climate change, adaptation, resilience, policy, human health"
162,"November 28, 2022",Dr. Joel P. Scott & Dr. Erin Urquhart,Leveraging Design Principles to Inform the Next Generation of NASA Earth Satellites,Oceanography,@jpsco & @ea_urquhart,Scott & Urquhart 2020,"workshop report, satellite mission, user requirements, applications, NASA PACE, ocean remote sensing, plankton, aerosol, cloud, ocean ecosystem"
162,"December 5, 2022",Highlighting new LoLManuscriptMonday website,,Github.IO,,Tweet,
164,"December 12, 2022",LoL Leadership Feature of Matilda Anokye,,,@KKTilda,Matilda Anokye Feature,
165,"December 19, 2022",LoL Leadership Feature of Sarah Schenkein,,,,Sarah Schenkein Feature,
166,"December 26, 2022",LoL Leadership Feature of Sheryl Rose Reyes,,,@srcreyes,Sheryl Rose Reyes Feature,
167,"January 2, 2023",Happy New Year 2023 Post,"Virginia Norwood, la ""madre del Landsat"" que revolucionó la observación de la Tierra desde el espacio",,,BBC Mundo feature of Virginia Norwood Feature,
168,"January 9, 2023",Dr. Morgan Crowley,Towards a whole-system framework for wildfire monitoring using Earth observations,Global Change Biology,@morganahcrowley,Crowley 2022,"complex systems, Earth observations, fire monitoring, forest fires, pyrogeography, remote sensing, wildfires"
169,"January 16, 2023",Dr. Ana Cláudia dos Santos Luciano,"Mapping 33 years of sugarcane evolution in São Paulo state, Brazil, using landsat imagery and generalized space-time classifiers",Remote Sensing Applications: Society and Environment,,dos Santos Luciano 2022,"Landsat, sugarcane, Brazil, space-time classifiers, multi-source, machine learning, random forest"
170,"January 23, 2023",Carmen Morales,Earth Map: A Novel Tool for Fast Performance of Advanced Land Monitoring and Climate Assessment,Journal of Remote Sensing,,Morales 2023,"Earth Map, Google Earth Engine, analysis platform, datasets, software architecture"
171,"January 30, 2023",Dr. Marta Sapena,Empiric recommendations for population disaggregation under different data scenarios,Plos One,@marta_sapena,Sapena 2022,"land use, population density, census, statistical methods, cities, statistical data, machine learning, urban areas"
171,"February 6, 2023",Dr. Crista Straub,Economic Valuation of Landsat Imagery,USGS Publications Warehouse,@cstraubresearch,Straub 2019,"Landsat, economic value, imagery"
172,"February 13, 2023",Edmund B. Molder & Sarah F. Schenkein,Landsat Data Ecosystem Case Study: Actor Perceptions of the Use and Value of Landsat,Frontiers in Environmental Science,,Molder & Schenkein 2022,"Landsat, data ecosystem, values, decision support, societal benefits, qualitative, remote sensing, Earth observation"
173,"February 20, 2023",Ileana A. Callejas,Effect of COVID-19 Anthropause on Water Clarity in the Belize Coastal Lagoon,Frontiers in Marine Science,@IleanaCallejas,Callejas 2021,"diffuse attenuation coefficient, moderate resolution imaging spectroradiometer, remote sensing, water quality, marine traffic, Belize Barrier Reef Reserve System, water clarity"
174,"February 27, 2023",Mary Joy Buitre,The Mangrove Forests Change and Impacts from Tropical Cyclones in the Philippines Using Time Series Satellite Imagery,MDPI Remote Sensing,@Joyee_Twenty5,Buitre 2019,"comparative analysis, mangroves, Philippines, landscape metrics"
175,"March 13, 2023",Dr. Karen Joyce,Discovering Inclusivity in Remote Sensing: Leaving No One Behind,Frontiers in Remote Sensing,@DrKJoyce,Joyce 2022,"diversity, equity, inclusion, remote sensing, editorial boards, publications"
176,"May 1, 2023",Dr. Ursa Kanjir,Vessel detection and classification from spaceborne optical images: A literature survey,Remote Sensing of Environment,@OrsoMajor,Kanjir 2018,"vessel detection, vessel classification, sea target detection, object recognition, optical satellite data, maritime domain awareness"
177,"May 15, 2023",Dr. Ana Stritih,Alternative states in the structure of mountain forests across the Alps and the role of disturbance and recovery,Landscape Ecology,@AnaStritih,Stritih 2023,"mountain forests,GEDI, disturbance, basins of attraction, recovery"
181,"June 13, 2023",Mari Trix Estomata,Mapping of Forest Cover Extent and Change in the Philippines Using Decision Tree Classification on ALOS-½ PALSAR-½ Mosaic Data,Proceedings of the 40th Asian Conference on Remote Sensing),@Trixie_EA,Estomata_2019,"L-Band SAR, REDD+, Unbiased Area Estimation, Multi-Temporal Speckle Filtering"
183,"July 31, 2023",Sona Guliyeva,Comparative Analysis of Machine Learning Algorithms for Crop Mapping Based on Azersky Satellite Images,ICAIAME 2022: 4th International Conference on Artificial Intelligence and Applied Mathematics in Engineering,@SonaGuliyeva_15,Guliyeva 2023,"Remote Sensing, Deep Learning, Azersky, Crop Map, GEE"
